Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt
América,30,34.0,51,496,176,35.5,14.59,5.18,0.1,0.29,5,9
Atlas,31,34.0,40,341,106,31.1,10.03,3.12,0.12,0.38,10,10
Atlético San Luis,34,34.0,48,383,132,34.5,11.26,3.88,0.13,0.36,8,8
Cruz Azul,31,34.0,62,599,204,34.1,17.62,6.0,0.1,0.3,5,7
FC Juárez,30,34.0,49,442,146,33.0,13.0,4.29,0.11,0.34,10,10
Guadalajara,33,34.0,61,549,184,33.5,16.15,5.41,0.11,0.33,5,8
León,36,34.0,35,455,148,32.5,13.38,4.35,0.08,0.24,6,7
Atlante,39,34.0,42,344,121,35.2,10.12,3.56,0.12,0.35,4,6
Monterrey,35,34.0,55,502,185,36.9,14.76,5.44,0.11,0.3,7,12
Necaxa,34,34.0,40,471,146,31.0,13.85,4.29,0.08,0.27,3,3
Pachuca,37,34.0,44,484,153,31.6,14.24,4.5,0.09,0.29,3,4
Puebla,37,34.0,34,417,139,33.3,12.26,4.09,0.08,0.24,1,2
Querétaro,41,34.0,34,378,123,32.5,11.12,3.62,0.09,0.28,6,8
Santos Laguna,33,34.0,41,366,133,36.3,10.76,3.91,0.11,0.31,4,8
Tijuana,33,34.0,45,400,133,33.3,11.76,3.91,0.11,0.34,8,11
Toluca,34,34.0,68,587,196,33.4,17.26,5.76,0.12,0.35,6,7
UANL,29,34.0,61,535,195,36.4,15.74,5.74,0.11,0.31,4,6
UNAM,34,34.0,56,416,133,32.0,12.24,3.91,0.13,0.42,12,15
