Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG
América,30,34.0,59,3,0,353,406,46,632,257,323,,,1
Atlas,31,34.0,81,7,3,426,397,56,421,303,329,,,1
Atlético San Luis,34,34.0,72,6,2,406,414,29,580,222,264,,,5
Cruz Azul,31,34.0,70,6,1,420,404,79,712,241,375,,,3
FC Juárez,30,34.0,75,4,0,415,430,43,733,295,321,,,3
Guadalajara,33,34.0,76,3,1,415,371,71,685,276,317,,,1
León,36,34.0,77,4,2,445,409,54,616,282,317,,,0
Mazatlán,39,34.0,84,4,1,407,386,60,468,288,353,,,1
Monterrey,35,34.0,60,4,2,394,421,46,632,276,301,,,2
Necaxa,34,34.0,84,10,3,450,382,35,594,256,340,,,0
Pachuca,37,34.0,91,13,4,454,376,50,575,237,367,,,2
Puebla,37,34.0,75,8,1,427,419,41,539,250,333,,,2
Querétaro,41,34.0,87,7,1,432,364,62,595,286,367,,,1
Santos Laguna,33,34.0,98,11,4,457,447,55,526,285,372,,,2
Tijuana,33,34.0,87,4,2,437,426,61,595,282,418,,,0
Toluca,34,34.0,79,6,1,447,382,67,567,278,341,,,1
UANL,29,34.0,87,7,3,401,449,54,617,272,318,,,2
UNAM,34,34.0,94,4,3,427,354,60,572,253,283,,,1
