Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG
América,26,7.0,12,1,1,83,74,13,143,50,74,,,0
Atlante,26,8.0,15,1,1,112,97,14,111,83,111,,,0
Atlas,26,8.0,16,4,0,100,95,10,121,93,116,,,1
Atlético San Luis,22,8.0,11,1,1,76,89,11,100,65,101,,,1
Cruz Azul,26,8.0,16,0,0,85,83,11,175,64,100,,,0
FC Juárez,24,8.0,21,0,0,97,107,13,128,71,74,,,1
Guadalajara,22,8.0,7,1,0,91,86,13,149,70,74,,,0
León,22,8.0,13,3,0,88,98,6,133,67,97,,,0
Monterrey,24,7.0,11,3,0,93,84,9,160,70,83,,,0
Necaxa,22,8.0,19,3,1,105,104,7,151,53,81,,,1
Pachuca,22,8.0,23,2,0,118,85,17,146,68,96,,,0
Puebla,22,7.0,8,1,0,82,68,9,118,50,77,,,1
Querétaro,21,7.0,28,0,0,96,69,16,134,71,81,,,1
Santos Laguna,26,8.0,14,0,0,73,90,9,178,65,86,,,0
Tijuana,21,7.0,8,0,0,76,80,21,139,61,79,,,0
Toluca,28,7.0,9,1,0,69,76,11,124,75,78,,,0
UANL,24,8.0,18,3,1,107,103,9,158,66,90,,,0
UNAM,24,8.0,11,1,0,94,66,13,156,77,79,,,0
