Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,A-xAG,KP,1/3,PPA,CrsPA
América,30,34.0,,,,,,,,,,,,,,,34,,,,,
Atlas,31,34.0,,,,,,,,,,,,,,,25,,,,,
Atlético San Luis,34,34.0,,,,,,,,,,,,,,,33,,,,,
Cruz Azul,31,34.0,,,,,,,,,,,,,,,45,,,,,
FC Juárez,30,34.0,,,,,,,,,,,,,,,29,,,,,
Guadalajara,33,34.0,,,,,,,,,,,,,,,44,,,,,
León,36,34.0,,,,,,,,,,,,,,,24,,,,,
Mazatlán,39,34.0,,,,,,,,,,,,,,,26,,,,,
Monterrey,35,34.0,,,,,,,,,,,,,,,37,,,,,
Necaxa,34,34.0,,,,,,,,,,,,,,,25,,,,,
Pachuca,37,34.0,,,,,,,,,,,,,,,30,,,,,
Puebla,37,34.0,,,,,,,,,,,,,,,24,,,,,
Querétaro,41,34.0,,,,,,,,,,,,,,,18,,,,,
Santos Laguna,33,34.0,,,,,,,,,,,,,,,29,,,,,
Tijuana,33,34.0,,,,,,,,,,,,,,,27,,,,,
Toluca,34,34.0,,,,,,,,,,,,,,,56,,,,,
UANL,29,34.0,,,,,,,,,,,,,,,45,,,,,
UNAM,34,34.0,,,,,,,,,,,,,,,34,,,,,
