Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,A-xAG,KP,1/3,PPA,CrsPA
América,26,7.0,,,,,,,,,,,,,,,11,,,,,
Atlante,26,8.0,,,,,,,,,,,,,,,5,,,,,
Atlas,26,8.0,,,,,,,,,,,,,,,6,,,,,
Atlético San Luis,22,8.0,,,,,,,,,,,,,,,5,,,,,
Cruz Azul,26,8.0,,,,,,,,,,,,,,,15,,,,,
FC Juárez,24,8.0,,,,,,,,,,,,,,,3,,,,,
Guadalajara,22,8.0,,,,,,,,,,,,,,,12,,,,,
León,22,8.0,,,,,,,,,,,,,,,5,,,,,
Monterrey,24,7.0,,,,,,,,,,,,,,,10,,,,,
Necaxa,22,8.0,,,,,,,,,,,,,,,7,,,,,
Pachuca,22,8.0,,,,,,,,,,,,,,,8,,,,,
Puebla,22,7.0,,,,,,,,,,,,,,,8,,,,,
Querétaro,21,7.0,,,,,,,,,,,,,,,6,,,,,
Santos Laguna,26,8.0,,,,,,,,,,,,,,,4,,,,,
Tijuana,21,7.0,,,,,,,,,,,,,,,5,,,,,
Toluca,28,7.0,,,,,,,,,,,,,,,9,,,,,
UANL,24,8.0,,,,,,,,,,,,,,,8,,,,,
UNAM,24,8.0,,,,,,,,,,,,,,,10,,,,,
