Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,1/3,CPA,Mis,Dis,Rec
América,30,56.8,34.0,,,,,,,,,,,,,,,,,,,,
Atlas,31,43.7,34.0,,,,,,,,,,,,,,,,,,,,
Atlético San Luis,34,47.3,34.0,,,,,,,,,,,,,,,,,,,,
Cruz Azul,31,55.7,34.0,,,,,,,,,,,,,,,,,,,,
FC Juárez,30,49.4,34.0,,,,,,,,,,,,,,,,,,,,
Guadalajara,33,57.0,34.0,,,,,,,,,,,,,,,,,,,,
León,36,52.7,34.0,,,,,,,,,,,,,,,,,,,,
Mazatlán,39,42.1,34.0,,,,,,,,,,,,,,,,,,,,
Monterrey,35,56.7,34.0,,,,,,,,,,,,,,,,,,,,
Necaxa,34,49.5,34.0,,,,,,,,,,,,,,,,,,,,
Pachuca,37,49.9,34.0,,,,,,,,,,,,,,,,,,,,
Puebla,37,48.0,34.0,,,,,,,,,,,,,,,,,,,,
Querétaro,41,36.4,34.0,,,,,,,,,,,,,,,,,,,,
Santos Laguna,33,44.8,34.0,,,,,,,,,,,,,,,,,,,,
Tijuana,33,46.5,34.0,,,,,,,,,,,,,,,,,,,,
Toluca,34,56.4,34.0,,,,,,,,,,,,,,,,,,,,
UANL,29,56.5,34.0,,,,,,,,,,,,,,,,,,,,
UNAM,34,51.3,34.0,,,,,,,,,,,,,,,,,,,,
