Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt
América,40,34.0,60,495,183,37.0,14.56,5.38,0.12,0.33,2,2
Atlas,31,34.0,41,428,107,25.0,12.59,3.15,0.10,0.38,4,5
Atlético San Luis,33,34.0,46,389,137,35.2,11.44,4.03,0.12,0.34,5,6
Cruz Azul,33,34.0,65,533,166,31.1,15.68,4.88,0.12,0.39,6,8
FC Juárez,36,34.0,38,398,126,31.7,11.71,3.71,0.10,0.30,2,3
Guadalajara,38,34.0,40,421,132,31.4,12.38,3.88,0.10,0.30,3,4
León,36,34.0,45,407,141,34.6,11.97,4.15,0.11,0.32,3,6
Mazatlán,35,34.0,25,379,109,28.8,11.15,3.21,0.07,0.23,2,3
Monterrey,34,34.0,58,490,162,33.1,14.41,4.76,0.12,0.36,8,9
Necaxa,33,34.0,56,522,184,35.2,15.35,5.41,0.11,0.30,4,4
Pachuca,38,34.0,46,494,168,34.0,14.53,4.94,0.09,0.27,1,2
Puebla,37,34.0,29,385,122,31.7,11.32,3.59,0.08,0.24,5,6
Querétaro,41,34.0,30,339,106,31.3,9.97,3.12,0.09,0.28,1,2
Santos Laguna,40,34.0,27,386,114,29.5,11.35,3.35,0.07,0.24,3,3
Tijuana,35,34.0,53,458,160,34.9,13.47,4.71,0.12,0.33,7,7
Toluca,32,34.0,75,486,204,42.0,14.29,6.00,0.15,0.37,2,3
UANL,31,34.0,46,506,149,29.4,14.88,4.38,0.09,0.31,5,6
UNAM,32,34.0,43,443,135,30.5,13.03,3.97,0.10,0.32,6,8
