Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt
América,26,7.0,15,148,52,35.1,21.14,7.43,0.10,0.29,1,2
Atlante,26,8.0,7,113,34,30.1,14.12,4.25,0.06,0.21,1,3
Atlas,26,8.0,11,88,29,33.0,11.00,3.62,0.13,0.38,1,1
Atlético San Luis,22,8.0,8,102,31,30.4,12.75,3.87,0.08,0.26,0,0
Cruz Azul,26,8.0,16,162,62,38.3,20.25,7.75,0.10,0.26,1,3
FC Juárez,24,8.0,4,69,16,23.2,8.62,2.00,0.06,0.25,1,1
Guadalajara,22,8.0,14,111,46,41.4,13.87,5.75,0.13,0.30,2,2
León,22,8.0,11,117,45,38.5,14.63,5.63,0.09,0.24,2,2
Monterrey,24,7.0,13,130,47,36.2,18.57,6.71,0.10,0.28,2,2
Necaxa,22,8.0,9,119,39,32.8,14.87,4.87,0.08,0.23,1,2
Pachuca,22,8.0,13,122,34,27.9,15.25,4.25,0.11,0.38,2,2
Puebla,22,7.0,10,93,34,36.6,13.29,4.86,0.11,0.29,1,1
Querétaro,21,7.0,10,89,28,31.5,12.71,4.00,0.11,0.36,2,3
Santos Laguna,26,8.0,5,108,29,26.9,13.50,3.62,0.05,0.17,0,1
Tijuana,21,7.0,10,93,25,26.9,13.29,3.57,0.11,0.40,4,5
Toluca,28,7.0,14,125,41,32.8,17.86,5.86,0.11,0.34,3,3
UANL,24,8.0,9,134,33,24.6,16.75,4.12,0.07,0.27,1,2
UNAM,24,8.0,11,104,31,29.8,13.00,3.87,0.11,0.35,1,1
